sequence_id,nb_frames,hauteur_image,largeur_image,nb_personnes_detectees,vitesse_moyenne,zone_sensible,variation_mouvement,score_risque,classe,comportement
SEQ_0001,16,32,32,1,1.65,1,0.86,0.82,1,Suspect
SEQ_0002,16,32,32,1,1.09,0,0.16,0.2,0,Normal
SEQ_0003,16,32,32,2,1.79,1,0.75,0.89,1,Suspect
SEQ_0004,16,32,32,2,0.79,0,0.06,0.14,0,Normal
SEQ_0005,16,32,32,1,1.75,1,0.73,0.96,1,Suspect
SEQ_0006,16,32,32,1,0.9,0,0.24,0.12,0,Normal
SEQ_0007,16,32,32,2,2.24,1,0.6,0.85,1,Suspect
SEQ_0008,16,32,32,1,0.93,0,0.14,0.11,0,Normal
SEQ_0009,16,32,32,2,1.86,1,0.74,0.8,1,Suspect
SEQ_0010,16,32,32,1,0.98,0,0.11,0.22,0,Normal
SEQ_0011,16,32,32,1,1.92,1,0.69,0.88,1,Suspect
SEQ_0012,16,32,32,2,0.83,0,0.19,0.17,0,Normal
SEQ_0013,16,32,32,1,1.73,1,0.85,0.82,1,Suspect
SEQ_0014,16,32,32,1,0.92,0,0.15,0.17,0,Normal
SEQ_0015,16,32,32,1,1.66,1,0.83,0.85,1,Suspect
SEQ_0016,16,32,32,1,1.08,0,0.19,0.07,0,Normal
SEQ_0017,16,32,32,2,2.01,1,0.64,0.97,1,Suspect
SEQ_0018,16,32,32,1,1.02,0,0.14,0.3,0,Normal
SEQ_0019,16,32,32,1,1.82,1,0.74,0.91,1,Suspect
SEQ_0020,16,32,32,1,0.67,0,0.12,0.15,0,Normal
SEQ_0021,16,32,32,2,1.72,1,0.72,0.83,1,Suspect
SEQ_0022,16,32,32,2,1.0,0,0.15,0.19,0,Normal
SEQ_0023,16,32,32,2,2.22,1,0.82,0.92,1,Suspect
SEQ_0024,16,32,32,1,0.62,0,0.23,0.13,0,Normal
SEQ_0025,16,32,32,1,2.16,1,0.84,0.74,1,Suspect
SEQ_0026,16,32,32,1,0.63,0,0.12,0.29,0,Normal
SEQ_0027,16,32,32,2,2.02,1,0.84,0.93,1,Suspect
SEQ_0028,16,32,32,1,0.6,0,0.13,0.19,0,Normal
SEQ_0029,16,32,32,2,1.98,1,0.79,0.93,1,Suspect
SEQ_0030,16,32,32,1,0.66,0,0.1,0.25,0,Normal
SEQ_0031,16,32,32,2,1.76,1,0.78,0.75,1,Suspect
SEQ_0032,16,32,32,2,1.03,0,0.06,0.21,0,Normal
SEQ_0033,16,32,32,2,2.28,1,0.66,0.75,1,Suspect
SEQ_0034,16,32,32,1,1.05,0,0.09,0.18,0,Normal
SEQ_0035,16,32,32,2,2.19,1,0.62,0.89,1,Suspect
SEQ_0036,16,32,32,1,0.87,0,0.08,0.06,0,Normal
SEQ_0037,16,32,32,1,2.17,1,0.57,0.7,1,Suspect
SEQ_0038,16,32,32,1,0.63,0,0.08,0.06,0,Normal
SEQ_0039,16,32,32,1,2.09,1,0.72,0.74,1,Suspect
SEQ_0040,16,32,32,1,0.9,0,0.24,0.35,0,Normal
SEQ_0041,16,32,32,1,1.61,1,0.88,0.96,1,Suspect
SEQ_0042,16,32,32,2,0.99,0,0.22,0.23,0,Normal
SEQ_0043,16,32,32,1,1.62,1,0.66,0.78,1,Suspect
SEQ_0044,16,32,32,1,1.06,0,0.06,0.25,0,Normal
SEQ_0045,16,32,32,1,1.85,1,0.72,0.75,1,Suspect
SEQ_0046,16,32,32,1,0.87,0,0.11,0.27,0,Normal
SEQ_0047,16,32,32,1,1.73,1,0.69,0.81,1,Suspect
SEQ_0048,16,32,32,1,1.06,0,0.22,0.08,0,Normal
SEQ_0049,16,32,32,1,1.76,1,0.73,0.78,1,Suspect
SEQ_0050,16,32,32,1,1.06,0,0.13,0.25,0,Normal
SEQ_0051,16,32,32,2,2.13,1,0.57,0.91,1,Suspect
SEQ_0052,16,32,32,1,0.9,0,0.11,0.25,0,Normal
SEQ_0053,16,32,32,3,2.06,1,0.61,0.97,1,Suspect
SEQ_0054,16,32,32,3,0.81,0,0.17,0.06,0,Normal
SEQ_0055,16,32,32,1,2.17,1,0.8,0.91,1,Suspect
SEQ_0056,16,32,32,1,0.75,0,0.1,0.23,0,Normal
SEQ_0057,16,32,32,1,2.23,1,0.73,0.82,1,Suspect
SEQ_0058,16,32,32,1,0.94,0,0.21,0.24,0,Normal
SEQ_0059,16,32,32,1,2.15,1,0.61,0.93,1,Suspect
SEQ_0060,16,32,32,1,0.74,0,0.15,0.24,0,Normal
SEQ_0061,16,32,32,2,2.19,1,0.72,0.95,1,Suspect
SEQ_0062,16,32,32,2,0.65,0,0.18,0.14,0,Normal
SEQ_0063,16,32,32,1,1.98,1,0.73,0.95,1,Suspect
SEQ_0064,16,32,32,2,0.88,0,0.12,0.06,0,Normal
SEQ_0065,16,32,32,1,1.99,1,0.91,0.87,1,Suspect
SEQ_0066,16,32,32,1,1.09,0,0.07,0.07,0,Normal
SEQ_0067,16,32,32,1,1.86,1,0.69,0.95,1,Suspect
SEQ_0068,16,32,32,1,1.04,0,0.18,0.15,0,Normal
SEQ_0069,16,32,32,1,1.77,1,0.94,0.81,1,Suspect
SEQ_0070,16,32,32,2,0.75,0,0.23,0.1,0,Normal
SEQ_0071,16,32,32,1,1.69,1,0.93,0.85,1,Suspect
SEQ_0072,16,32,32,1,1.07,0,0.12,0.27,0,Normal
SEQ_0073,16,32,32,1,1.66,1,0.59,0.74,1,Suspect
SEQ_0074,16,32,32,1,0.63,0,0.06,0.33,0,Normal
SEQ_0075,16,32,32,2,1.96,1,0.6,0.76,1,Suspect
SEQ_0076,16,32,32,3,1.07,0,0.14,0.05,0,Normal
SEQ_0077,16,32,32,2,1.63,1,0.71,0.85,1,Suspect
SEQ_0078,16,32,32,2,1.01,0,0.17,0.17,0,Normal
SEQ_0079,16,32,32,1,2.21,1,0.9,0.9,1,Suspect
SEQ_0080,16,32,32,2,0.75,0,0.15,0.2,0,Normal
SEQ_0081,16,32,32,2,1.77,1,0.82,0.8,1,Suspect
SEQ_0082,16,32,32,1,0.7,0,0.15,0.08,0,Normal
SEQ_0083,16,32,32,1,2.25,1,0.68,0.95,1,Suspect
SEQ_0084,16,32,32,2,0.62,0,0.21,0.07,0,Normal
SEQ_0085,16,32,32,1,1.61,1,0.82,0.75,1,Suspect
SEQ_0086,16,32,32,1,1.08,0,0.15,0.25,0,Normal
SEQ_0087,16,32,32,1,1.68,1,0.89,0.96,1,Suspect
SEQ_0088,16,32,32,1,0.87,0,0.11,0.27,0,Normal
SEQ_0089,16,32,32,1,1.96,1,0.87,0.91,1,Suspect
SEQ_0090,16,32,32,1,1.02,0,0.1,0.29,0,Normal
SEQ_0091,16,32,32,1,1.71,1,0.84,0.93,1,Suspect
SEQ_0092,16,32,32,1,1.08,0,0.1,0.12,0,Normal
SEQ_0093,16,32,32,1,1.98,1,0.71,0.8,1,Suspect
SEQ_0094,16,32,32,1,0.74,0,0.05,0.19,0,Normal
SEQ_0095,16,32,32,1,1.91,1,0.92,0.75,1,Suspect
SEQ_0096,16,32,32,3,0.92,0,0.11,0.19,0,Normal
SEQ_0097,16,32,32,1,1.84,1,0.83,0.94,1,Suspect
SEQ_0098,16,32,32,1,1.09,0,0.18,0.2,0,Normal
SEQ_0099,16,32,32,2,1.9,1,0.83,0.78,1,Suspect
SEQ_0100,16,32,32,2,0.87,0,0.1,0.18,0,Normal
SEQ_0101,16,32,32,1,2.16,1,0.74,0.8,1,Suspect
SEQ_0102,16,32,32,2,1.09,0,0.07,0.32,0,Normal
SEQ_0103,16,32,32,2,1.76,1,0.69,0.86,1,Suspect
SEQ_0104,16,32,32,1,1.08,0,0.25,0.13,0,Normal
SEQ_0105,16,32,32,1,1.94,1,0.77,0.88,1,Suspect
SEQ_0106,16,32,32,2,0.92,0,0.23,0.32,0,Normal
SEQ_0107,16,32,32,2,2.25,1,0.93,0.71,1,Suspect
SEQ_0108,16,32,32,3,0.74,0,0.11,0.19,0,Normal
SEQ_0109,16,32,32,2,2.02,1,0.69,0.8,1,Suspect
SEQ_0110,16,32,32,1,1.01,0,0.08,0.12,0,Normal
SEQ_0111,16,32,32,1,1.75,1,0.78,0.76,1,Suspect
SEQ_0112,16,32,32,1,1.07,0,0.22,0.08,0,Normal
SEQ_0113,16,32,32,1,1.89,1,0.81,0.81,1,Suspect
SEQ_0114,16,32,32,1,0.77,0,0.09,0.31,0,Normal
SEQ_0115,16,32,32,1,1.89,1,0.83,0.85,1,Suspect
SEQ_0116,16,32,32,2,0.78,0,0.15,0.35,0,Normal
SEQ_0117,16,32,32,1,2.18,1,0.6,0.84,1,Suspect
SEQ_0118,16,32,32,1,0.64,0,0.13,0.07,0,Normal
SEQ_0119,16,32,32,1,2.16,1,0.82,0.9,1,Suspect
SEQ_0120,16,32,32,1,0.68,0,0.05,0.08,0,Normal
SEQ_0121,16,32,32,1,2.27,1,0.91,0.76,1,Suspect
SEQ_0122,16,32,32,1,1.08,0,0.16,0.16,0,Normal
SEQ_0123,16,32,32,1,1.79,1,0.78,0.9,1,Suspect
SEQ_0124,16,32,32,3,1.01,0,0.07,0.23,0,Normal
SEQ_0125,16,32,32,1,1.7,1,0.75,0.88,1,Suspect
SEQ_0126,16,32,32,2,1.08,0,0.15,0.19,0,Normal
SEQ_0127,16,32,32,1,1.61,1,0.9,0.74,1,Suspect
SEQ_0128,16,32,32,1,0.84,0,0.15,0.06,0,Normal
SEQ_0129,16,32,32,1,1.85,1,0.93,0.96,1,Suspect
SEQ_0130,16,32,32,1,1.07,0,0.22,0.16,0,Normal
SEQ_0131,16,32,32,3,2.02,1,0.68,0.7,1,Suspect
SEQ_0132,16,32,32,1,1.08,0,0.16,0.24,0,Normal
SEQ_0133,16,32,32,1,2.25,1,0.74,0.86,1,Suspect
SEQ_0134,16,32,32,1,0.72,0,0.15,0.12,0,Normal
SEQ_0135,16,32,32,2,1.86,1,0.85,0.78,1,Suspect
SEQ_0136,16,32,32,1,0.95,0,0.18,0.32,0,Normal
SEQ_0137,16,32,32,1,1.73,1,0.91,0.95,1,Suspect
SEQ_0138,16,32,32,1,0.99,0,0.05,0.09,0,Normal
SEQ_0139,16,32,32,1,1.81,1,0.71,0.96,1,Suspect
SEQ_0140,16,32,32,1,0.66,0,0.1,0.05,0,Normal
SEQ_0141,16,32,32,1,1.9,1,0.75,0.77,1,Suspect
SEQ_0142,16,32,32,1,0.65,0,0.18,0.17,0,Normal
SEQ_0143,16,32,32,1,1.95,1,0.63,0.78,1,Suspect
SEQ_0144,16,32,32,1,0.99,0,0.11,0.34,0,Normal
SEQ_0145,16,32,32,2,1.71,1,0.83,0.91,1,Suspect
SEQ_0146,16,32,32,1,0.67,0,0.21,0.31,0,Normal
SEQ_0147,16,32,32,2,1.92,1,0.8,0.77,1,Suspect
SEQ_0148,16,32,32,1,0.95,0,0.22,0.18,0,Normal
SEQ_0149,16,32,32,3,1.74,1,0.68,0.9,1,Suspect
SEQ_0150,16,32,32,1,0.68,0,0.06,0.07,0,Normal
SEQ_0151,16,32,32,1,2.15,1,0.64,0.83,1,Suspect
SEQ_0152,16,32,32,1,1.02,0,0.08,0.05,0,Normal
SEQ_0153,16,32,32,1,1.85,1,0.67,0.92,1,Suspect
SEQ_0154,16,32,32,2,0.64,0,0.16,0.29,0,Normal
SEQ_0155,16,32,32,1,1.6,1,0.87,0.71,1,Suspect
SEQ_0156,16,32,32,1,0.9,0,0.24,0.24,0,Normal
SEQ_0157,16,32,32,1,2.07,1,0.65,0.93,1,Suspect
SEQ_0158,16,32,32,1,0.76,0,0.19,0.1,0,Normal
SEQ_0159,16,32,32,1,2.09,1,0.84,0.95,1,Suspect
SEQ_0160,16,32,32,1,0.67,0,0.1,0.17,0,Normal
SEQ_0161,16,32,32,2,2.1,1,0.58,0.72,1,Suspect
SEQ_0162,16,32,32,2,1.0,0,0.1,0.15,0,Normal
SEQ_0163,16,32,32,2,2.03,1,0.66,0.83,1,Suspect
SEQ_0164,16,32,32,1,0.6,0,0.25,0.22,0,Normal
SEQ_0165,16,32,32,1,2.16,1,0.58,0.81,1,Suspect
SEQ_0166,16,32,32,1,0.72,0,0.23,0.26,0,Normal
SEQ_0167,16,32,32,1,1.71,1,0.57,0.86,1,Suspect
SEQ_0168,16,32,32,1,0.87,0,0.21,0.31,0,Normal
SEQ_0169,16,32,32,1,1.83,1,0.72,0.81,1,Suspect
SEQ_0170,16,32,32,1,0.83,0,0.2,0.14,0,Normal
SEQ_0171,16,32,32,1,1.87,1,0.61,0.88,1,Suspect
SEQ_0172,16,32,32,1,1.06,0,0.21,0.12,0,Normal
SEQ_0173,16,32,32,1,2.15,1,0.77,0.7,1,Suspect
SEQ_0174,16,32,32,2,0.8,0,0.21,0.27,0,Normal
SEQ_0175,16,32,32,1,2.09,1,0.92,0.78,1,Suspect
SEQ_0176,16,32,32,1,0.63,0,0.22,0.1,0,Normal
SEQ_0177,16,32,32,1,1.96,1,0.88,0.81,1,Suspect
SEQ_0178,16,32,32,1,0.79,0,0.06,0.14,0,Normal
SEQ_0179,16,32,32,1,1.64,1,0.95,0.85,1,Suspect
SEQ_0180,16,32,32,2,1.02,0,0.08,0.15,0,Normal
SEQ_0181,16,32,32,1,1.77,1,0.84,0.72,1,Suspect
SEQ_0182,16,32,32,1,0.93,0,0.09,0.15,0,Normal
SEQ_0183,16,32,32,3,2.01,1,0.61,0.82,1,Suspect
SEQ_0184,16,32,32,1,0.76,0,0.21,0.11,0,Normal
SEQ_0185,16,32,32,2,1.96,1,0.79,0.9,1,Suspect
SEQ_0186,16,32,32,1,0.95,0,0.21,0.32,0,Normal
SEQ_0187,16,32,32,1,2.18,1,0.76,0.77,1,Suspect
SEQ_0188,16,32,32,1,0.98,0,0.18,0.07,0,Normal
SEQ_0189,16,32,32,1,1.63,1,0.71,0.86,1,Suspect
SEQ_0190,16,32,32,2,0.68,0,0.06,0.22,0,Normal
SEQ_0191,16,32,32,1,2.16,1,0.69,0.86,1,Suspect
SEQ_0192,16,32,32,1,1.04,0,0.15,0.31,0,Normal
SEQ_0193,16,32,32,2,1.75,1,0.67,0.9,1,Suspect
SEQ_0194,16,32,32,1,0.84,0,0.19,0.09,0,Normal
SEQ_0195,16,32,32,1,1.9,1,0.72,0.75,1,Suspect
SEQ_0196,16,32,32,1,0.94,0,0.18,0.27,0,Normal
SEQ_0197,16,32,32,1,2.2,1,0.78,0.95,1,Suspect
SEQ_0198,16,32,32,2,0.95,0,0.09,0.07,0,Normal
SEQ_0199,16,32,32,2,1.86,1,0.57,0.87,1,Suspect
SEQ_0200,16,32,32,1,0.98,0,0.25,0.33,0,Normal
SEQ_0201,16,32,32,1,1.76,1,0.58,0.78,1,Suspect
SEQ_0202,16,32,32,2,1.06,0,0.05,0.3,0,Normal
SEQ_0203,16,32,32,1,2.08,1,0.6,0.71,1,Suspect
SEQ_0204,16,32,32,1,0.92,0,0.12,0.15,0,Normal
SEQ_0205,16,32,32,2,2.3,1,0.88,0.97,1,Suspect
SEQ_0206,16,32,32,1,0.83,0,0.22,0.11,0,Normal
SEQ_0207,16,32,32,1,1.77,1,0.71,0.94,1,Suspect
SEQ_0208,16,32,32,1,1.05,0,0.17,0.14,0,Normal
SEQ_0209,16,32,32,1,1.6,1,0.78,0.93,1,Suspect
SEQ_0210,16,32,32,2,0.84,0,0.25,0.17,0,Normal
SEQ_0211,16,32,32,1,2.18,1,0.75,0.88,1,Suspect
SEQ_0212,16,32,32,1,0.86,0,0.2,0.12,0,Normal
SEQ_0213,16,32,32,2,1.62,1,0.61,0.77,1,Suspect
SEQ_0214,16,32,32,1,0.83,0,0.16,0.14,0,Normal
SEQ_0215,16,32,32,1,1.99,1,0.85,0.75,1,Suspect
SEQ_0216,16,32,32,1,0.92,0,0.24,0.13,0,Normal
SEQ_0217,16,32,32,3,2.0,1,0.61,0.87,1,Suspect
SEQ_0218,16,32,32,1,0.74,0,0.15,0.09,0,Normal
SEQ_0219,16,32,32,1,2.28,1,0.77,0.76,1,Suspect
SEQ_0220,16,32,32,1,0.91,0,0.22,0.19,0,Normal
SEQ_0221,16,32,32,1,2.17,1,0.59,0.97,1,Suspect
SEQ_0222,16,32,32,1,0.77,0,0.21,0.13,0,Normal
SEQ_0223,16,32,32,1,1.78,1,0.82,0.73,1,Suspect
SEQ_0224,16,32,32,2,0.72,0,0.16,0.09,0,Normal
SEQ_0225,16,32,32,1,2.25,1,0.68,0.8,1,Suspect
SEQ_0226,16,32,32,2,0.97,0,0.06,0.25,0,Normal
SEQ_0227,16,32,32,1,2.15,1,0.73,0.93,1,Suspect
SEQ_0228,16,32,32,1,0.69,0,0.11,0.23,0,Normal
SEQ_0229,16,32,32,1,2.16,1,0.84,0.76,1,Suspect
SEQ_0230,16,32,32,2,0.99,0,0.14,0.12,0,Normal
SEQ_0231,16,32,32,1,1.91,1,0.67,0.84,1,Suspect
SEQ_0232,16,32,32,1,0.74,0,0.18,0.29,0,Normal
SEQ_0233,16,32,32,1,1.71,1,0.74,0.81,1,Suspect
SEQ_0234,16,32,32,1,0.72,0,0.2,0.11,0,Normal
SEQ_0235,16,32,32,1,2.09,1,0.85,0.77,1,Suspect
SEQ_0236,16,32,32,1,0.89,0,0.23,0.13,0,Normal
SEQ_0237,16,32,32,1,1.79,1,0.85,0.83,1,Suspect
SEQ_0238,16,32,32,1,0.93,0,0.16,0.11,0,Normal
SEQ_0239,16,32,32,1,2.27,1,0.87,0.84,1,Suspect
SEQ_0240,16,32,32,1,0.67,0,0.13,0.32,0,Normal
SEQ_0241,16,32,32,1,2.29,1,0.89,0.89,1,Suspect
SEQ_0242,16,32,32,1,0.65,0,0.11,0.27,0,Normal
SEQ_0243,16,32,32,2,2.16,1,0.64,0.93,1,Suspect
SEQ_0244,16,32,32,1,0.96,0,0.09,0.12,0,Normal
SEQ_0245,16,32,32,2,1.64,1,0.85,0.84,1,Suspect
SEQ_0246,16,32,32,3,0.74,0,0.12,0.32,0,Normal
SEQ_0247,16,32,32,1,1.67,1,0.86,0.86,1,Suspect
SEQ_0248,16,32,32,3,0.91,0,0.11,0.16,0,Normal
SEQ_0249,16,32,32,1,2.12,1,0.57,0.89,1,Suspect
SEQ_0250,16,32,32,1,1.04,0,0.17,0.24,0,Normal
SEQ_0251,16,32,32,2,1.66,1,0.76,0.81,1,Suspect
SEQ_0252,16,32,32,1,0.74,0,0.13,0.09,0,Normal
SEQ_0253,16,32,32,1,2.27,1,0.66,0.92,1,Suspect
SEQ_0254,16,32,32,2,1.04,0,0.15,0.09,0,Normal
SEQ_0255,16,32,32,1,2.22,1,0.61,0.73,1,Suspect
SEQ_0256,16,32,32,1,0.86,0,0.24,0.31,0,Normal
SEQ_0257,16,32,32,1,1.63,1,0.79,0.86,1,Suspect
SEQ_0258,16,32,32,1,0.9,0,0.25,0.09,0,Normal
SEQ_0259,16,32,32,1,2.19,1,0.61,0.74,1,Suspect
SEQ_0260,16,32,32,1,0.98,0,0.08,0.08,0,Normal
SEQ_0261,16,32,32,2,2.14,1,0.85,0.82,1,Suspect
SEQ_0262,16,32,32,1,0.68,0,0.14,0.16,0,Normal
SEQ_0263,16,32,32,1,1.74,1,0.61,0.98,1,Suspect
SEQ_0264,16,32,32,1,0.85,0,0.23,0.14,0,Normal
SEQ_0265,16,32,32,1,1.99,1,0.58,0.71,1,Suspect
SEQ_0266,16,32,32,1,0.79,0,0.07,0.14,0,Normal
